Size	Density	Value
0	0.0	0
0	0.1	0
0	0.2	0
0	0.3	0
0	0.4	0
0	0.5	0
0	0.6	0
0	0.7	0
0	0.8	0
0	0.9	0
0	1.0	0
10	0.0	0
10	0.1	0
10	0.2	0
10	0.3	0
10	0.4	0
10	0.5	0
10	0.6	0
10	0.7	0
10	0.8	0
10	0.9	0
10	1.0	404401
20	0.0	0
20	0.1	0
20	0.2	0
20	0.3	0
20	0.4	0
20	0.5	5341
20	0.6	5341
20	0.7	13168
20	0.8	14161
20	0.9	14161
20	1.0	473160
30	0.0	0
30	0.1	0
30	0.2	0
30	0.3	0
30	0.4	0
30	0.5	5341
30	0.6	5341
30	0.7	13168
30	0.8	14161
30	0.9	14563
30	1.0	476375
40	0.0	0
40	0.1	0
40	0.2	0
40	0.3	0
40	0.4	0
40	0.5	5341
40	0.6	5341
40	0.7	13168
40	0.8	14190
40	0.9	14705
40	1.0	476906
50	0.0	0
50	0.1	0
50	0.2	0
50	0.3	0
50	0.4	0
50	0.5	5341
50	0.6	5341
50	0.7	13168
50	0.8	14200
50	0.9	14742
50	1.0	477052
60	0.0	0
60	0.1	0
60	0.2	0
60	0.3	0
60	0.4	0
60	0.5	5341
60	0.6	5341
60	0.7	13168
60	0.8	14209
60	0.9	14770
60	1.0	477129
70	0.0	0
70	0.1	0
70	0.2	0
70	0.3	0
70	0.4	0
70	0.5	5341
70	0.6	5341
70	0.7	13168
70	0.8	14209
70	0.9	14782
70	1.0	477166
80	0.0	0
80	0.1	0
80	0.2	0
80	0.3	0
80	0.4	0
80	0.5	5341
80	0.6	5341
80	0.7	13173
80	0.8	14214
80	0.9	14787
80	1.0	477181
90	0.0	0
90	0.1	0
90	0.2	0
90	0.3	0
90	0.4	0
90	0.5	5341
90	0.6	5341
90	0.7	13173
90	0.8	14214
90	0.9	14788
90	1.0	477193
100	0.0	0
100	0.1	0
100	0.2	0
100	0.3	0
100	0.4	0
100	0.5	5341
100	0.6	5341
100	0.7	13173
100	0.8	14214
100	0.9	14788
100	1.0	477196
110	0.0	0
110	0.1	0
110	0.2	0
110	0.3	0
110	0.4	0
110	0.5	5341
110	0.6	5341
110	0.7	13173
110	0.8	14214
110	0.9	14789
110	1.0	477200
120	0.0	0
120	0.1	0
120	0.2	0
120	0.3	0
120	0.4	0
120	0.5	5341
120	0.6	5341
120	0.7	13173
120	0.8	14214
120	0.9	14789
120	1.0	477206
130	0.0	0
130	0.1	0
130	0.2	0
130	0.3	0
130	0.4	0
130	0.5	5341
130	0.6	5341
130	0.7	13173
130	0.8	14214
130	0.9	14789
130	1.0	477206
140	0.0	0
140	0.1	0
140	0.2	0
140	0.3	0
140	0.4	0
140	0.5	5341
140	0.6	5341
140	0.7	13173
140	0.8	14214
140	0.9	14789
140	1.0	477208
